Cores,Time (sec)
16,6033.907227
192,1186.040405
1,73421.039062
288,1122.566895
2,37492.953125
32,2818.780762
384,1108.421265
480,1120.163208
4,19683.261719
576,1202.953735
64,1827.073364
672,1160.321899
768,1149.379761
864,1208.929321
8,10665.782227
96,1596.409912
