Cores,Time (sec)
16,443.278290
192,1786.746216
1,5479.844238
288,2599.994141
2,2537.572998
32,211.872772
384,2931.158203
480,3277.944336
4,1636.582520
576,3543.283203
64,232.307159
672,3581.599854
768,3952.827148
864,4103.649902
8,859.228943
96,290.564880
